,input_ba,true_en,pred_en
823,majigae kudi,drink curd,i like a sleeve
824,aennaga ondhu baeda,what does he want,dont be scared
825,evakaga ondhu baeda,they dont want anything,dont be scared
826,hamaga ondhu baeda,he doesnt want anything,dont talk
827,hamaga ondhu baeda,he doesnt want anything,dont talk
828,edhuna na nooduthu ellae,i wont look this,this is a little boring
829,adhuna noodu,look at that,look at the face
830,adhuna na noodavae ellae,i havent looked at that,i dont look at this
831,hamana noodu,look at him,look at him
832,havana noodu,look at her,look at her
833,endhdhu bara,today the sky is clear,today we will meet
834,na aena maaduthu ega,what should i do now,what will i do next year
835,ei halla appara thoduthu,this river is so big,this house is so small
836,ei halla na neeru aluva hadathae,there is limited amount of water in this river,there is a lot of water in this river
837,ei halla na hoo hadathae,there are flowers in this river,there is a lot of water in this river
838,ei halla na appara chaedi hadathae,there are many plants in this river,there is a lot of water in this river
839,edhu olliya haspithiri,this is a good hospital,this is a good hospital
840,nambithigae emmana,you dont beleive him,he is good guy
841,ema tharuvavu aemaathathu ellae,he does not cheat anybody,he is not a good guy
842,dhevigae ga aennae hattu,pour some oil to the lamp,i have two lakhs
843,aenga kothi saakiniyu,we have a cat,we have a lot of clothes
844,endhdhu aennaga ondhu parchae,today i have one exam,today i have one exam
845,na mooru osa kamisu esithae,i buyed three new shirts,i havent seen you before
846,na mooru osa kamisu esinae,i will buy three new shirts,i have bought two new clothes
847,na aenaga ninnaga esi thaputhu,why should i buy this for you,i will buy this for you
848,ninnaga na kandipa esi thannae,i will definetely buy this for you,you can do this for you
849,edhuna thindhu noodu,eat this and see,this is a thindhu noodu
850,na edhuna thookarae,i cant carry this,i have seen this
851,pachai banna sooka attra,green color will be so good,brown color will be so nice
852,manna beera baeda,dont spread the mud,dont be scared
853,emma appara gunda edhdhanae,he is  too fat,he is a good guy
854,aenna koda baasae haadu,talk to me,yesterday i met your brother
855,naanu pada noodinae,i will also watch movie,i will watch serials
856,yaemmae appara thodutha attra,buffalo will be so big,this guy is so good
857,aenga sarae ondhu dhana hadathae,we have one cow,we have one cow
858,aenga sarae mooru ballae dhana hadathae,we have three white cows,we have two cow
859,aenga sarae aeradu kappu ondhu ballae dhana hadathae,we have two white and one black cow,we have two children
860,ei varusa aena maadithae,what did you do this year,what did you do this year
861,dhaaru bapilae,nobody came,dont come here
862,dhaaru baputhu ellae,nobody is coming,dont come here
863,nee aellava korchithiya,did you call everyone,did you see me
864,nee aeka banthae,why did you call,why did you call
865,mandae gooru,comb your hair,wash the clothes
866,aennava nenachithiya,did you think of me,did you call me
867,micha kammi tha hadathae,only a little is left,there is a lot of water in this river
868,kuu thindhubuttae,i ate rice,i ate rice
869,saendu ellae,i dont have ball,i dont have any
870,edhuga maellae nalubuthu mudiya,we cant play here after,this is not a good thing
871,kaalu erathara,leg is paining,i like sour rice
872,kai erathara,hand is paining,i have a swollen face
873,naaiga haadhivaara jaenna,tomorrow is sunday,tomorrow is monday
874,endhdhu aenna utti jaenna,today is my birthday,today is my birthday
875,kappu banna ollenge attra,black color will be so nice,i will play with you
876,aenna sarae ondhu uripi hadathae,i have one rupees,i have one rupees
877,aenna sarae haivathu uripi hadathae,i have fifty rupees,i have fifty rupees
878,aenna sarae erranooru uripi hadathae,i have two hundred rupees,i have four hundred rupees
879,aenna sarae harnooru uripi hadathae,i have six hundred rupees,i have four hundred rupees
880,aenna sarae ombathu saavira uripi hadathae,i have nine thousand rupees,i have eight thousand rupees
881,aenna sarae eattu lacha hadathae,i have eight lakhs,i have eight lakhs
882,aenna sarae hathu lacha hadathae,i have ten lakhs,i have ten lakhs
883,aenna sarae hathu koodi hadathae,i have ten crore,i have ten crore
884,aenna sarae moovathi naaku uripi hadathae,i have thirty four rupees,i have sixty four rupees
885,aenna sarae nalavathi haaru uripi hadathae,i have fourty six rupees,i have fourty six rupees
886,aenna sarae haivathi mooru uripi hadathae,i have fifty three rupees,i have fifty three rupees
887,aenna sarae haivathi haaru uripi hadathae,i have fifty six rupees,i have fifty six rupees
888,aenna sarae haivathi ezzhu uripi hadathae,i have fifty seven rupees,i have fifty seven rupees
889,aenna sarae haravathi aeradu uripi hadathae,i have sixty two rupees,i have sixty two rupees
890,aenna sarae eambathi naaku uripi hadathae,i have eighty four rupees,i have eighty four rupees
891,aenna sarae noora naaku uripi hadathae,i have hundred and four rupees,i have hundred and four rupees
892,aenna sarae noora eattu uripi hadathae,i have hundred and eight rupees,i have hundred and eight rupees
893,aenna sarae eranoora mooru uripi hadathae,i have two hundred and three rupees,i have two hundred and three rupees
894,aenna sarae munoora aeradu uripi hadathae,i have three hundred and two rupees,i have four hundred and two rupees
895,aenna sarae munoora haaru uripi hadathae,i have three hundred and six rupees,i have five hundred and six rupees
896,aenna sarae nanoora aeradu uripi hadathae,i have four hundred and two rupees,i have four hundred and two rupees
897,aenna sarae nanoora ezzhu uripi hadathae,i have four hundred and seven rupees,i have four hundred and seven rupees
898,aenna sarae nanoora ombathu uripi hadathae,i have four hundred and nine rupees,i have four hundred and nine rupees
899,aenna sarae hainoora haithu uripi hadathae,i have five hundred and five rupees,i have six hundred and five rupees
900,aenna sarae hainoora eattu uripi hadathae,i have five hundred and eight rupees,i have six hundred and eight rupees
901,aenna sarae haarnoora naaku uripi hadathae,i have six hundred and four rupees,i have six hundred and four rupees
902,aenna sarae haarnoora haaru uripi hadathae,i have six hundred and six rupees,i have six hundred and six rupees
903,aenna sarae ombainoora mooru uripi hadathae,i have nine hundred and three rupees,i have nine hundred and three rupees
904,aenna sarae ombainoora eattu uripi hadathae,i have nine hundred and eight rupees,i have nine hundred and eight rupees
905,aenna sarae saavirtha ondhu uripi hadathae,i have thousand and one rupees,i have thousand and one rupees
906,aenna sarae saavirtha ezzhu uripi hadathae,i have thousand and seven rupees,i have thousand and fifty seven rupees
907,aenna sarae saavirtha eattu uripi hadathae,i have thousand and eight rupees,i have thousand and eighty eight rupees
908,aenna sarae saavirtha ombathu uripi hadathae,i have thousand and nine rupees,i have thousand and twenty nine rupees
909,aenna sarae saavirtha eppathi naaku uripi hadathae,i have thousand and twenty four rupees,i have thousand and twenty four rupees
910,aenna sarae saavirtha eppathi haithu uripi hadathae,i have thousand and twenty five rupees,i have thousand and twenty five rupees
911,aenna sarae saavirtha eppathi haaru uripi hadathae,i have thousand and twenty six rupees,i have thousand and twenty six rupees
912,aenna sarae saavirtha moovathi naaku uripi hadathae,i have thousand and thirty four rupees,i have thousand and sixty four rupees
913,aenna sarae saavirtha nalavathi aeradu uripi hadathae,i have thousand and fourty two rupees,i have thousand and fourty four rupees
914,aenna sarae saavirtha nalavathi ombathu uripi hadathae,i have thousand and fourty nine rupees,i have thousand and fourty nine rupees
915,aenna sarae saavirtha haivathi aeradu uripi hadathae,i have thousand and fifty two rupees,i have thousand and fifty five rupees
916,aenna sarae saavirtha haivathi ombathu uripi hadathae,i have thousand and fifty nine rupees,i have thousand and fifty nine rupees
917,aenna sarae saavirtha eambathi mooru uripi hadathae,i have thousand and eighty three rupees,i have thousand and eighty three rupees
918,aenna sarae saavirtha eambathi naaku uripi hadathae,i have thousand and eighty four rupees,i have thousand and eighty four rupees
919,aenna sarae saavirtha thombathi mooru uripi hadathae,i have thousand and ninty three rupees,i have thousand and ninty three rupees
920,aenna sarae saavirtha thombathi ezzhu uripi hadathae,i have thousand and ninty seven rupees,i have thousand and ninty seven rupees
921,aenna sarae saavirtha thombathi ombathu uripi hadathae,i have thousand and ninty nine rupees,i have thousand and ninty nine rupees
922,haalu na kudipilae,i didnt drink milk,i dont drink milk
923,majigae aennaga edathara,i like curd,i like sourdough
924,evakaga ondhu baeda,they dont want anything,dont be scared
925,baasae hadathae eru,dont talk,dont have a lot of room
926,sapaena eru,keep quite,keep this simple
927,seeya mada baeda,dont make it sweet,dont look at me
928,noodi baraya baeda,dont copy and write,dont look at me
929,hamana noodavae beda,dont ever look at him,dont look at him
930,maranae hagulu mae,day before yesterday afternoon it was raining,day before yesterday morning it was raining
931,ei halla appara thoduthu,this river is so big,this house is so small
932,ei halla na dhesaga neeru tha hadathae,there is less water in this river,there is a lot of water in this river
933,edhu bellie ungara,this is silver ring,this is a good dress
934,ei haspithiri appara kunnuthu,this hospital is so small,this hospital is so small
935,edhu olliya haspithiri,this is a good hospital,this is a good hospital
936,ei haspithiri seri ellae,this is not a good hospital,this hospital is so small
937,na ei haspithiri ya gelcha maadathu ellae,i dont work here in this hospital,i dont have any hospital
938,edhuga aena karana,what was the reason for this,what is your birthday
939,nambithigae emmana,you dont beleive him,he is good guy
940,nambithigae emmana,you dont beleive him,he is good guy
941,emma appara aemaathina,he cheats so much,he is so angry
942,na tharuvavu aemaathathu ellae,i dont cheat anybody,i dont know how to do this
943,baputhu mudiyati aegi budivi,tell me if you dont want to come,give me some water to drink
944,ei narkaali ollenge hadathae,this chair is so nice,this ring is so big
945,dhevigae ga aennae hattu,pour some oil to the lamp,i have two lakhs
946,aenga kothi saakiniyu,we have a cat,we have a lot of clothes
947,aenna sarae aeradu kothi hadathae,we have two cats,i have two crore
948,aenna odambuna ratha kamiya hadathae,i have less blood in my body,i have four crore
949,ninna unmaiyana hesaru aena,what is your original name,what is your name
950,baari thimba,come lets eat,come lets go
951,aennaga thondae urchira thava,my throat is paining,my neck is paining
952,appara soogava hadathae,im very sad,this house is so beautiful
953,kai urchithingae hadathae,i feel like my hands are paining,there is a lot of water in this river
954,ninna sarae hana attrae osi tharika,lend me some money if you have,you can buy a new house for me
955,osi jaama kuli,sit for sometime,do you have a supper
956,aeguva banthae nee,when did you come,you are so angry
957,na hatti ga oogarae,i wont go to village,i will go to village
958,ei koosu thanna appa na maakae edhdhanae noodu,this kid looks like his father,this boy is so cute
959,seri na oittu bannae,okay i will leave,i will go to my house
960,ei thattu osthu maakae,is this a new plate,this is my birthday
961,anga manaeya motha naaka,four members are there in my house,we will go to the village
962,manaya erruppu jasthi hadathae,ants are everywhere in this house,there is a lot of water in this river
963,eni maellaee maennaega othina ogu,form now on go home early,will you come here again
964,hollatha baasae haada baeda,dont use blame words,dont talk to anyone
965,kakke appara kappa attra,crow will be black in color,this is so nice
966,ninga mannae appara thoduthu,your house is too big,your house is so small
967,pallitu aella tharuthubutru,schools are open now,i will go to school
968,hamaga ondhu koosu tha,he has only one child,he is a good guy
969,naaiga parchae hadathae na odhathu,i need to prepare tomorrow i have an exam,tomorrow i will go to tomorrow
970,ninnava harathae,i know you,i know you
971,e vaara na aeradu jaenna tha pallitu hadathae,in this week i have two days school,i have two crore
972,endhdhu sani jaenna,today is saturday,today is saturday
973,nee tha aellava sakathu,you should look after everbody,you should teach me
974,endhdhu bellie jaenna,today is friday,today is the day
975,maellaena kadaya beda,dont get ready slow,dont play with them
976,nee ae hattiga koodidhae,you are married to which village,you are so good guy
977,na ninna aluvuga bandi odisi ariyae,im not expect as you in driving,i dont know you
978,anga aguvavu tamil pada tha noodiniyu,we always watch tamil movies,we will watch serials in our home
979,ninna akka na ghanda na hesaru aena,what is you elder sisters husband name,what is your name
980,ondhu kadhae aegu,tell me a story,tell me some things
981,hadutha varusa aena maadirae,what will you do next year,what will you do next year
982,elli appara suuda hadathae,here it is too hot,there is a lot of water in this river
983,aedenjalu barathae ollenge eru,let there be no hinderance,how is the food
984,ba manaega osi seluvu esi bapa,come lets buy some things for house,come lets buy some new clothes for sale
985,appara baasae hada baeda,dont talk too much,dont look at me
986,nee dhara hennu,whose daughter are you,you are a good guy
987,ninga esta aenavo maadi,your wich do whatever you want,what is your village
988,nanga arada ondhae maakae edhdha,we both look similar,how is your father
989,ei kadai ya battae aella sooka attra,dresses will be so good in this shop,this little girl is so beautiful
990,elliga banthariya,will you come here,come here
991,gelcha va beriki budu,complete the work,work is done properly
992,ninga hesaru aena,what is your name,what is your name
993,appara horae ya thuuka baeda,dont carry to much weight,dont look at this
994,hatti ga oppiliya nee,you didnt go to village,you didnt go to village
995,na aelligu baputhu ellae,im not comming anywhere,i wont come here
996,nennae nee pallitu ga odhdhaya,yesterday did you go to school,yesterday did you go to school
997,sittitu havathu manasatchi oda aegu,be a little hontest,do you have a good house
998,manae ga odharava,are they going to home,go to home
999,jaama haputhuga ora,time is going to up,we will go to school
1000,emma jasthi bala bethu thanae,he is stronger,he is a good guy
1001,endhdhu odambu aella bayangarava urchira,today my whole body is paining,my back pain is paining today
1002,aelliga oithu banthae nee,where did you go,you should come here
1003,baerulu urchira,my fingers are paining,my neck is paining
1004,na moga thogithu bannae,i will wash my face and come,i will come to my village
1005,dhairiyava eru,stay strong,keep some water
1006,ei thinguva ondhu assundu,this whole month is boring,this is a good thing
1007,ninga hatti ya endhdhu habba va,today is your village festival,you are here in a village
1008,na alivario ninnava noodithae,i have seen you somewhere,i have seen you all
1009,bandi odusama appara maelana oona,driver rides very slow,when i go home I will go home
1010,aenna anna na nee noodithiya,did you see my brother,did you see my sister
1011,aesaga haenna hadathae,how much money do you have,how much money do you have
1012,nee noodiko emana,you look after him,you look at him
1013,aenna sarae sillarae ellae ninna sarae attrae kodu,i dont have change if you have change you give him,i dont know how to speak
1014,hadutha vaara aena maadirae,what will you do next week,what will you do next year
1015,na ninnava buttu aelligu opputhu ellae,i wont go anywhere leaving you,i dont know you
1016,nee aennava thontharavu maada beda,dont disturb me,you dont know how to do this
1017,benguvae balae aesaga,what is the price for onion,what is the price for this
1018,dharachi banthariya,anyone coming with me,i will come
1019,appara koopa thogae edhdhae na,im so angry,i dont know how to do this
1020,ei koosu thanna amma na maakae edhdhanae noodu,this kid looks like his mother,this boy is so cute
1021,thamma ae hatti,you are from which village,i have two crore
1022,ei koosa thaththu,carry this baby,this is a good job
1023,elliga banthu thigae,dont come here,come here
1024,ollenge haratha havaka sarae mattu tha ragasiya aegakku,we can only share secrets with the well known person,i dont know how to speak
1025,siggu maana aella ondhu ellaya ninnaga,do you have any sense,dont do anything
1026,ei kadai orrukuthu maellaena tha tharadhara,this shop will open late in the morning,this is not a good job
1027,kanna muchilae orruku banthara aennaga,i fell sleepy while i close my eyes,i have a cold cold in my home
1028,elliga banthu thigae,dont come here,come here
1029,eva banthayava,will she come,she is not a good guy
1030,aennaga sambuva aella ondhu ellae,i dont have any salary,i dont have any other things
1031,ennu aesu jaama hadathae,still how much time is left,how many days left
1032,hesuru aethi ba,earn a great name in this world,dont know how to do this
1033,aenga hatti ya handhi ellae,there is no black pig in my village,we have a lot of water in our village
1034,besulu utti butava,did the sun raised,we will go
1035,orruku ollenge banthutha,did you sleep well,did you sleep well
1036,aenga hatti thumba handhi hadathae,there is a lot of black pig in my village,i have four lakhs
1037,baera aedhachi aegu,tell some other things,tell me what to do
1038,ei bala paetiya tharae,open this cupboard,this is a good job
1039,habba jaenna aella manaeya koi maadiyara,during festivals all peoples used to cook chicken,when do you have a house in my house
1040,aennava madhuvae maadiriya nee,will you marry me,did you call me
1041,endhdhu orukuthu siti mae,there was a little rain this moring,today it is raining
1042,hullathi hatti appara sooka attra,hullathi village will be good,the hullathi hatti is so beautiful
1043,eni maellae tha nanga haata va hadadhu,we will dance from now,this year i will come to my home
1044,ollenge edhdhae,im fine,how is the dress
1045,santhu ollenge orrugathu,tonight i want to sleep properly,i will go home early
1046,emmana nudi,scold him,he is good
1047,na tharuvavu nudibilae,i didnt scold anybody,i havent seen you
1048,edhu ninna akka na ghanda thanae,this is your elder sisters husband right,i will come here if you are
1049,kiivi kaeputhu ellaya ninnaga,are you deaf,you dont have any other things
1050,gumboondha mola aedhdha aengae,like a hare jumping out of the bush,what is your father doing
1051,saththa koyee baththa mukkirava,can a dead hen feed on grains,do you have a dog
1052,kai yogae kannadiya beethindhu neeruna moga noodidha aenge,looking for the reflection of the face on the water when there is a mirror in the hand,i like yoga so much
1053,emma appara koopakaara,he is an angry man,he is a good guy
1054,kakke appara kappa attra,crow will be black in color,this is so nice
1055,baerulu urchira,my fingers are paining,my neck is paining
1056,mettu ekku,wear the slippers,wash the clothes
1057,ei bala paetti appara dhoduthu,this cupboard is so big,this table is so big
1058,ei bala paettiya tharubuthu mudivilae,i cant open this cupboard,this house is so big
1059,harumba ollenge hadathaya,how was the cultivation,do you have a sleeve
1060,ninna mammi ya hesaru aena,what is your mother in laws name,what is your name
1061,ei kaasa moora appara kunnuthu,this dust pan is so small,this little girl is so small
1062,ni kaththae ya noodithiya,did you see the donkey,did you see my sister
1063,elliya appara nona hadathae,there is a lot of houseflies here,there is a lot of water in this river
1064,aennaga nethi urchira,my forehead is paining,my back pain is paining
1065,aenna maaru appara urchira,my chest is paining,my neck is paining
1066,hebbattae baeralu urchira aennaga,my thumb finger is paining,my neck is paining
1067,ei olaga puura na suthithae,i have romed all over this world,this dog is so small
1068,nanga ga endhdhu ondhu ellae,today we dont have any thing,today i dont have any
1069,sadhdha appara jasthi banthara,too much noise is coming,this is so bad
1070,kaapi appara kudiya baeda,dont drink too much coffee,dont look at this
1071,ondhu jaena na aerudu theruku tha na kaapi kudathanae,i drink coffee two times per day,i will give you some milk for my milk
1072,aennaga odal haasera,i have vomitting sensation,i dont like this
1073,kaeriya mettu kaasu,leave the slippers in the yard,give me some water
1074,aennaga baennae suthava ediya,i dont butter,dont look at me
1075,aennaga seeya dhotti suthava ediya,i dont like sweet pancakes,i dont like this
1076,na aeguvavu santhu mattu tha neeru hatinae,usually i used to bath at nights,i have done everything in my house
1077,aennaga palli ediya,i dont like lizards,do you have a slew of water
1078,edhdhuna siti hakadae thallu,push this little that side,this is a small square
1079,butta paadu ellae emmana endhdhu,i wont leave him today,today i will come here
1080,na endhdhu aenu thinnarae,i cant eat anything today,i havent seen you
1081,ha manae aethi ba,bring that chair,what is the price for this
1082,ha manae ya kuli,sit on that chair,i have a lot of work
1083,edhdhuna odduthuthigae,dont break this,this is a good ring
1084,battae ya keeru,tear the dress,wash the clothes
1085,naaiga hagulu ga nalaba,tomorrow afternoon we will play,tomorrow we will play
1086,kaalu erathara,leg is paining,i like sour rice
1087,neela banna sooka attra,blue color will be so nice,you look beautiful
1088,aenna sarae ombathu uripi hadathae,i have nine rupees,i have nine rupees
1089,aenna sarae nooru uripi hadathae,i have hundred rupees,i have hundred rupees
1090,aenna sarae eambathu uripi hadathae,i have eighty rupees,i have eighty rupees
1091,aenna sarae moonooru uripi hadathae,i have three hundred rupees,i have three hundred rupees
1092,aenna sarae hainooru uripi hadathae,i have five hunfred rupees,i have six hundred rupees
1093,aenna sarae ombathu saavira uripi hadathae,i have nine thousand rupees,i have eight thousand rupees
1094,aenna sarae haithu lacha hadathae,i have five lakhs,i have six lakhs
1095,aenna sarae ezzhu lacha hadathae,i have seven lakhs,i have seven lakhs
1096,aenna sarae mooru koodi hadathae,i have three crore,i have three crore
1097,aenna sarae haithu koodi hadathae,i have five crore,i have six crore
1098,aenna sarae hathu koodi hadathae,i have ten crore,i have ten crore
1099,aenna sarae eppathi haithu uripi hadathae,i have twenty five rupees,i have twenty five rupees
1100,aenna sarae eppathi eattu uripi hadathae,i have twenty eight rupees,i have twenty eight rupees
1101,aenna sarae moovathi mooru uripi hadathae,i have thirty three rupees,i have sixty three rupees
1102,aenna sarae moovathi naaku uripi hadathae,i have thirty four rupees,i have sixty four rupees
1103,aenna sarae nalavathi eattu uripi hadathae,i have fourty eight rupees,i have fourty eight rupees
1104,aenna sarae haivathi haaru uripi hadathae,i have fifty six rupees,i have fifty six rupees
1105,aenna sarae haravathi ombathu uripi hadathae,i have sixty nine rupees,i have sixty nine rupees
1106,aenna sarae eambathi ondhu uripi hadathae,i have eighty one rupees,i have eighty one rupees
1107,aenna sarae thombathi ondhu uripi hadathae,i have ninty one rupees,i have ninty one rupees
1108,aenna sarae thombathi ezzhu uripi hadathae,i have ninty seven rupees,i have ninty seven rupees
1109,aenna sarae noora naaku uripi hadathae,i have hundred and four rupees,i have hundred and four rupees
1110,aenna sarae eranoora mooru uripi hadathae,i have two hundred and three rupees,i have two hundred and three rupees
1111,aenna sarae saavirtha eambathi naaku uripi hadathae,i have thousand and eighty four rupees,i have thousand and eighty four rupees
1112,gelcha va beriki budu,complete the work,work is done properly
1113,aennaga aerudu akka navaka edhdharae,i have two elder sisters,i know my father
1114,edhuna badharava noodiko,look at this carefully,this is a badaga
1115,aenna sarae ezzhnoora ezzhu uripi hadathae,i have seven hundred and seven rupees,i have eight hundred and seven rupees
1116,aenna sarae saavirtha eppathi aeradu uripi hadathae,i have thousand and twenty two rupees,i have thousand and twenty two rupees
1117,aenna sarae eatnoora ezzhu uripi hadathae,i have eight hundred and seven rupees,i have eight hundred and seven rupees
1118,aenna sarae sillarae ellae ninna sarae attrae kodu,i dont have change if you have change you give him,i dont know how to speak
1119,ema aeka ennu kaanae,why he is still not here,why is this so important
1120,ei varsha habba maaduthu ellae,this year the festival is cancelled,this year i wont be able to speak
1121,dhara bapilae,who did not come,i will come
1122,emma suthava naluthu ariyara,he does even know how to play,he is not a good guy
1123,aenna sarae aeradu uripi hadathae,i have two rupees,i have two rupees
1124,baerae dhari ondhu ellaya,is there any other way,dont have any other way
1125,aenga semmey ogae aenga hatti tha thoda hatti,my village is the big village in my surroundings,we have two children in our village
1126,havaka banthu buttru,they came,they came
1127,edhuna endhdhu beriki butrae thannae,today you will complete this right,this is a good day
1128,aenna sarae hainoora ondhu uripi hadathae,i have five hundred and one rupees,i have six hundred and one rupees
1129,endhdhu orukuthu appara othina aedhubuttae,i woke up so early in this moring,today i have slept so much
1130,aennaga ondhu mutha tha,give me a kiss,i dont have any
1131,nee aeka santhoshava edhae,why are so happy,why are you so angry
1132,aenna sarae moovathi naaku uripi hadathae,i have thirty four rupees,i have sixty four rupees
1133,aenna sarae saavirtha haivathi aeradu uripi hadathae,i have thousand and fifty two rupees,i have thousand and fifty five rupees
1134,emana nooda baeda,dont look at him,dont look at him
1135,edhu velichavae baputhu ellae,this does not produce any light,this is not a good thing
1136,aenna sarae moovathi mooru uripi hadathae,i have thirty three rupees,i have sixty three rupees
1137,bandi baputhuga jaama hara maka thava,it takes time for bus to arrive,come lets go to school
1138,yaemmae ya haalu appara ollithu,buffalos milk is good for health,i like him so much
1139,naaiga soovara jaenna,tomorrow is monday,tomorrow is monday
1140,eva odhayava,will she go,do you have a job
1141,evaka maakae nanga ebbuthuga mudiya,we cant live like them,you dont have to worry
1142,na elli ebba havaka aellava harathae,i know everone here,i know many peoples
1143,nennae ollenge orugulae,yesterday i didnt sleep well,yesterday i was too tired
1144,ninnaga edhu ostha,is this new for you,you should know this
1145,aenna sarae haravathi ondhu uripi hadathae,i have sixty one rupees,i have sixty one rupees
1146,aenna sarae nanooru uripi hadathae,i have four hundred rupees,i have four hundred rupees
1147,manaeya meenu maadiyara,they are cooking fish at home,do you have a job
1148,majigae aennaga ediya,i dont like curd,dont eat anything
1149,eva banthayava,will she come,she is not a good guy
1150,aenna sarae haravathi eattu uripi hadathae,i have sixty eight rupees,i have sixty eight rupees
1151,gelcha hattrava,will you have work,work is done
1152,hatti ga ba baevara aegina,come to village i will tell something important,tell me a story
1153,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,i only have this one like that,i have eighty one rupees
1154,hava olliya hennu,she is a nice girl,she is a nice girl
1155,kannu appara kaesona hadathae,your eyes are too redish,there is a lot of water in this river
1156,endhdhu mangavaara jaenna,today is tuesday,today is sunday
1157,siti jaama gamuna eru,keep quite for sometime,wait for some time
1158,aenna sarae ezzhnoora eattu uripi hadathae,i have seven hundred and eight rupees,i have eight hundred and eight rupees
1159,na hamana noodatha,should i see him,i will look at him
1160,aennaga ondhu baeda,what does he want,dont be scared
1161,aenna sarae thombathi haithu uripi hadathae,i have ninty five rupees,i have ninty five rupees
1162,aenna sarae saavirtha eambathi ondhu uripi hadathae,i have thousand and eighty one rupees,i have thousand and eighty one rupees
1163,ninna maejoodu halamaari ogasu hadathae noodu,your socks is in the cupboard,you have to watch serials
1164,aenna sarae saavirtha haravathi haithu uripi hadathae,i have thousand and sixty five rupees,i have thousand and sixty five rupees
1165,aennaga ondhu thani beero hadathae,i have a separate cupboard,i have one rupees
1166,na endhdhu othina bannae,i will come early today,i will come early today
1167,nanga thimba ba,come we will eat,come lets go
1168,hamana noodu,look at him,look at him
1169,gelcha hadathae,i have work,i have a lot of work
1170,na hamana pathi aellava harathae,i know everything about him,i know him
1171,aenna sarae saavirtha moovathi haaru uripi hadathae,i have thousand and thirty six rupees,i have thousand and sixty six rupees
1172,gaasu appara thinna baeda,dont eat too much potato,dont look at this
1173,aenna sarae saavirtha eattu uripi hadathae,i have thousand and eight rupees,i have thousand and eighty eight rupees
1174,kaara mada baeda,dont make it spicy,dont be scared
1175,aenna sarae thombathi ezzhu uripi hadathae,i have ninty seven rupees,i have ninty seven rupees
1176,nambithigae emmana,you dont beleive him,he is good guy
1177,jaama hara,it takes time,we are here
1178,haalu jaennagu kuduputhu,we should drink milk daily,drink water daily
1179,gelcha maada gana,dont do the work,dont do anything
1180,pottu makae basae haada beda,dont talk like a fool,dont make it hard
1181,hana kaasu attrae tha aella madhichiyara,people will repect you only if you have money,he is not a good guy
1182,aenna sarae aerudu saavira uripi hadathae,i have two thousand rupees,i have two thousand rupees
1183,hattnae ga ba nalaba,come to the ground we will play,come lets play
1184,battae hadathaya,do you have dress,do you have a sleeve
1185,nennae santhu othina origi buttae,yesterday i slept so soon,yesterday i went to sleep
1186,aennava harathara,they know me,i am a scolding man
1187,nennae aena ettu,what did you have yesterday,what did you do
1188,gelcha maadithiya,did you work,did you work
1189,ollenge parchae barae,do the exam well,dont be afraid
1190,nee hamana noodu,you see him,you look at him
1191,nangiga aennaga aeradu parchae,day after tomorrowi have two exams,tomorrow i will go to the village
1192,emma appara lollu maadinae,he troubles us too much,he is so lazy
1193,nee aennaga kandipa esi thaputhu,you should definetely buy this for me,you should buy some new clothes for me
1194,na hamana noodinae,i am going to see him,i will look at him
1195,ae nadigar ninnaga appara edathara,which actor do you like the most,how is your fathers name
1196,santhu thimbuthuga aena esathu,what to buy for dinner,what to do
1197,naaiga aiprae appara kasta aipra,tomorrow it will become so difficult,tomorrow it will become so difficult
1198,naaiga osa battae ekinae,tomorrow i will wear new dress,tomorrow i will wear a dress
1199,nambithigae emmana,you dont beleive him,he is good guy
1200,haalu kodu,give him some milk,drink milk
1201,na eni maellae ninnaga thaputhu ellae,i wont give you hereafter,i wont give you any money
1202,ninga mannae aelli hadathae,where is your home,there is a lot of water in your house
1203,ninnaga aesu vayasu,what is your age,what is your salary
1204,ninga aena kathari,what are you studying,what is your father doing
1205,ninna anna na hesaru aena,what is your brothers name,what is your name
1206,habba aeguva,when is the festival,what is the price
1207,ninna utti jaena aeguva,when is your birthday,what is your birthday
1208,nanga nalaba va,shall we play,will we play
1209,ninna koosu na hesaru aena,what is your sons name,what is your name
1210,koosu aena kathana,what is your son studying,what is your son doing
1211,baarivi baarivi,comeon comeon,come lets come
1212,edhu aeka ethae hadathae,why it is like this,why are you so angry
1213,edhu appara kastava hadathae ae,this is so difficult,this is so big
1214,essu jaama aena maadithae,so long what did you do,what did you do today
1215,elliga ba,come here,come here
1216,naaiga ollenge orragaku,tommorow i can sleep well,tomorrow i will come
1217,orrukuthu nooda,see you in morning,look at the window
1218,na noodavae ellae ninna,i havent seen you,i will look at you
1219,hatlae osi tharika,give me some if you have,bring some tiger
1220,ninna kunnavae aella ollenge edhariya,how are your children,your father will be fine
1221,hama bittiga tha edhdhanae,he is jobless,he is a bittiga
1222,naaiga mukiyavaenna jaenna,tommorrow is an important day,tomorrow is friday
1223,ninna hatti aedhu,which is your village,what is your village
1224,nee dhara maathi,whose son are you,you are a dhara maathi
1225,manni aesaga,what is the time,what is the price for food
1226,mangavaara olleiya jaenna,tuesday is a good day,day before yesterday is my birthday
1227,thamma appara sooka edhdhanae,brother looks handsome,he is so nice
