,input_en,true_ba,pred_ba
703,dont scold him,nudiya baeda hamana,hamana nooduthu ellae
704,i regret telling you,ninna sarae oi na aegithae noodu,ninnaga aennava na ninnava ninnava ninnava
705,do something,aedho ondhu maadu,aennaga ollenge edhdhae
706,my hand is not paining,kai urchathu ellae,kai urchira
707,which game you like the most,ninnaga aena nalavata appara edathara,ninnaga appara edathara
708,he is an average player,emma paravalae siti nalathana,emma ollenge edhdhae
709,im going to study this whole day,endhdhu jaenna pura na oodhinae,endhdhu jaenna ollenge edhdhu
710,they are cooking fish at home,manaeya meenu maadiyara,manaeya ollenge maadithae
711,i feel like vomitting,aennaga kaarikae banthangae hadathae,aennaga appara koosu appara edathara
712,did you see my spectacles,aenna kannadiya noodithiya,aenna sarae noodithiya
713,this side it is there,eekadae hadathae,ei side hadathae
714,its too late,appara jaama haipta,edhuna appara kunnuthu
715,what is the breakfast,orukuthu ettu aena,hagulu aena ettu
716,who is there near you,pakka dhara edhdharae,nee aethae ollenge edhae
717,what did you prepare for lunch,hagulu hasuga aena maditha,endhdhu aena maadithae
718,wait i will come,bannae eru,nanga bannae ollenge bannae
719,i buyed a new shirt,na ondhu osa kamisu esithae,na ollenge edhdhae
720,today it is so windy,gaai jaasthi endhdhu,endhdhu appara sooka hadathae
721,yesterday i didnt sleep well,nennae ollenge orugulae,nennae ollenge orrukuthu
722,film was so boring,pada appara asundu,nee appara sooka hadathae
723,this is in your hands,edhu ninna kai na tha hadathae,edhu appara thoda edhdhae
724,how much money should i give you,enu na ninaga aesaga hana thaputhu,ninnaga aesaga na ninnava aesaga
725,this boy is so brilliant,e koosu appara baevara,ei koosu appara kunnuthu
726,he likes simbu,emaga simbu tha edathara,simbu aennaga edathara
727,he acts very well,emma ollenge nadichina,emma appara ollenge edhdhae
728,he plays very good,emma bayangarava nalathana,emma appara sooka hadathae
729,did you see my mother,aenna amma na nee noodithiya,aenna amma na noodithae
730,did you see my sister,aenna amme ya nee noodithiya,aenna amme ya noodithae
731,i havent seen anyone,na tharuvavu noodulae,na ninnava noodithae
732,wher is this shop located,ei kadai alliya hadathae,ei kadai hadathae
733,dont eat too much,kanduga thinna baeda,ninnaga appara baeda
734,why are so sad,nee aeka soogava edhae,nee aeka edhdhae edhdhae
735,fried rice will be so good,bartha kuu ollenge attra,kuu appara sooka attra
736,egg gravy will be so nice,mottae udhaka appara sooka attra,kunnuthu appara sooka attra
737,i will maary whoever my father tolds me to marry,na aenna appa aeguva koosa tha madhuvae maadinae,na aenna sarae aenna maadinae na ninnava noodithae
738,wait for some days,dhosi jaenna eru,nanga osi jaenna
739,i wont give,thaputhu ellae,na ninnaga edhdhae
740,you should respect everyone,nee aellaga mariyathae kodathu,ninnaga aellava aellava tha nee
741,keep this inside the cupboard,edhuna beero ogasu be,edhuna manakana ollenge hadathae
742,today the sky is clear,endhdhu bara,endhdhu bara
743,sky is full of blue today,baanu thumba neellae banna endhdhu,endhdhu appara kunnuthu
744,dont carry too much weight,appara baara va thooka baeda,ninnaga appara baeda
745,give him some coffee,emmaga dhesaga kaapi kodu,emmaga kaapi koosu
746,is there any other way,baerae dhari ondhu ellaya,elliya ondhu ellaya
747,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu appara urchira
748,if i complete this job early i can go home early,ei gelcha manakana berikirae manaega manakana oogaku,ei gelcha manakana manakana manakana manakana manakana manakana ogu
749,what to buy for dinner,santhu thimbuthuga aena esathu,santhu ollenge ettu
750,tiger is there in the forest,kaadu thogae ulli hadathae,aenga sarae hattiya hadathae
751,bear will be so black in color,karadi appara kappa attra,aennaga kappa appara kappa attra
752,my grandmother will watch serials,aenna haethae tha nadangae noodiya,aenna amma na nooduthu ellae
753,during festivals they used to make beans gravy,habba jaenna avarai udhaka tha maadiyara,ei halla ollenge ollenge hadathae
754,i know everything about him,na hamana pathi aellava harathae,ema na ninnava noodithae
755,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti appara sooka attra
756,hullathi is a small village,hullathi ondhu kunna hatti,hullathi ondhu kunnuthu hatti
757,how many kids are there in your age,ninna vayasu kunnavae aesaga edhdharae,ninnaga aesaga aesaga edhdhae
758,what is your favourite food,ninnaga edatha ettu aena,ninnaga aena ettu edathara
759,he is mad,emma siti vishaesha,emma appara koosu
760,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,ninnaga sarae aeguva ellae ellae ellae ellae
761,two weeks are left for the exam,ennu aerudu vaara tha hadathae parachae ga,aennaga aerudu varusa gelcha hadathae
762,one month left for next year,ei varusa berugathuga ennu ondhu thinguva tha hadathae,ei varusa gelcha hadathae tha hadathae
763,three nonths are left for next year,ei varusa berugathuga ennu mooru thinguva tha hadathae,aennaga naaiga mooru tha hadathae
764,i will go to another job next year,na hadatha varusa baerae gelcha ga onnae,na ennu ollenge ollenge edhdhae
765,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na ei varusa ollenge edhdhae
766,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna sarae ollenge hadathae
767,this cupboard is so big,ei bala paetti appara dhoduthu,ei halla appara kunnuthu
768,too much wind is blowing,gaai appara beesira,aennaga appara koosu
769,come to the ground we will play,hattnae ga ba nalaba,nalaba nalaba
770,shall me do a ball,saendu maada va,ninnaga ollenge maadithae
771,we cant play here after,edhuga maellae nalubuthu mudiya,elliga nalaba nalaba
772,i cant play here after,edhuga maellae na naliyarae,elliga na baputhu ellae
773,tomorrow is my birthday,naaiga aenna utti jaenna,nangiga aenna utti jaenna
774,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
775,tuesday is my birthday,mangavaara aenna utti janna,nennae utti jaenna
776,wednesday is my birthday,bodhavaara aenna utti jaenna,nennae utti jaenna
777,sunday is my birthday,haadhivaara aenna utti jaenna,nangiga aenna utti jaenna
778,blue color will be so nice,neela banna sooka attra,kai appara sooka attra
779,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
780,i have nine rupees,aenna sarae ombathu uripi hadathae,aenna sarae ombainooru uripi hadathae
781,i have sixty rupees,aenna sarae haravathu uripi hadathae,aenna sarae haravathi uripi hadathae
782,i have two thousand rupees,aenna sarae aerudu saavira uripi hadathae,aenna sarae eranooru uripi hadathae
783,i have four thousand rupees,aenna sarae naaku saavira uripi hadathae,aenna sarae nanooru uripi hadathae
784,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
785,i have twenty three rupees,aenna sarae eppathi mooru uripi hadathae,aenna sarae eppathi mooru uripi hadathae
786,i have twenty five rupees,aenna sarae eppathi haithu uripi hadathae,aenna sarae eppathi haithu uripi hadathae
787,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
788,i have eighty three rupees,aenna sarae eambathi mooru uripi hadathae,aenna sarae eambathi mooru uripi hadathae
789,i have eighty five rupees,aenna sarae eambathi haithu uripi hadathae,aenna sarae eambathi haithu uripi hadathae
790,i have eighty nine rupees,aenna sarae eambathi ombathu uripi hadathae,aenna sarae eambathi ombathu uripi hadathae
791,i have ninty five rupees,aenna sarae thombathi haithu uripi hadathae,aenna sarae thombathi haithu uripi hadathae
792,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
793,i have hundred and eight rupees,aenna sarae noora eattu uripi hadathae,aenna sarae noora eattu uripi hadathae
794,i have two hundred and four rupees,aenna sarae eranoora naaku uripi hadathae,aenna sarae eranoora naaku uripi hadathae
795,i have two hundred and five rupees,aenna sarae eranoora haithu uripi hadathae,aenna sarae eranoora haithu uripi hadathae
796,i have three hundred and four rupees,aenna sarae munoora naaku uripi hadathae,aenna sarae munoora naaku uripi hadathae
797,i have three hundred and five rupees,aenna sarae munoora haithu uripi hadathae,aenna sarae munoora haithu uripi hadathae
798,i have four hundred and six rupees,aenna sarae nanoora haaru uripi hadathae,aenna sarae nanoora haaru uripi hadathae
799,i have five hundred and three rupees,aenna sarae hainoora mooru uripi hadathae,aenna sarae hainoora mooru uripi hadathae
800,i have five hundred and nine rupees,aenna sarae hainoora ombathu uripi hadathae,aenna sarae hainoora ombathu uripi hadathae
801,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
802,i have seven hundred and two rupees,aenna sarae ezzhnoora aeradu uripi hadathae,aenna sarae ezzhnoora aeradu uripi hadathae
803,i have eight hundred and six rupees,aenna sarae eatnoora haaru uripi hadathae,aenna sarae eatnoora haaru uripi hadathae
804,i have nine hundred and four rupees,aenna sarae ombainoora naaku uripi hadathae,aenna sarae ombainoora naaku uripi hadathae
805,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
806,i have thousand and twenty one rupees,aenna sarae saavirtha eppathi ondhu uripi hadathae,aenna sarae saavirtha eppathi ondhu uripi hadathae
807,i have thousand and thirty one rupees,aenna sarae saavirtha moovathi ondhu uripi hadathae,aenna sarae saavirtha moovathi ondhu uripi hadathae
808,i have thousand and thirty two rupees,aenna sarae saavirtha moovathi aeradu uripi hadathae,aenna sarae saavirtha moovathi aeradu uripi hadathae
809,i have thousand and thirty three rupees,aenna sarae saavirtha moovathi mooru uripi hadathae,aenna sarae saavirtha moovathi mooru uripi hadathae
810,i have thousand and thirty eight rupees,aenna sarae saavirtha moovathi eattu uripi hadathae,aenna sarae saavirtha moovathi eattu uripi hadathae
811,i have thousand and fifty seven rupees,aenna sarae saavirtha haivathi ezzhu uripi hadathae,aenna sarae saavirtha haivathi ezzhu uripi hadathae
812,i have thousand and fifty nine rupees,aenna sarae saavirtha haivathi ombathu uripi hadathae,aenna sarae saavirtha haivathi ombathu uripi hadathae
813,i have thousand and sixty three rupees,aenna sarae saavirtha haravathi mooru uripi hadathae,aenna sarae saavirtha haravathi mooru uripi hadathae
814,i have thousand and eighty rupees,aenna sarae saavirtha eambathu uripi hadathae,aenna sarae saavirtha eambathi eattu uripi hadathae
815,i have thousand and eighty one rupees,aenna sarae saavirtha eambathi ondhu uripi hadathae,aenna sarae saavirtha eambathi ondhu uripi hadathae
816,i have thousand and eighty three rupees,aenna sarae saavirtha eambathi mooru uripi hadathae,aenna sarae saavirtha eambathi mooru uripi hadathae
817,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
818,i have thousand and eighty seven rupees,aenna sarae saavirtha eambathi ezzhu uripi hadathae,aenna sarae saavirtha eambathi ezzhu uripi hadathae
819,i have thousand and hundred rupees,aenna sarae saavirtha nooru uripi hadathae,aenna sarae saavirtha uripi hadathae
820,give him some milk,haalu kodu,haalu haalu
821,i dont drink milk,haalu na kuduputhu ellae,haalu kudathara
822,did you drink curd,majigae kudathaya,thimbuthuga kudathara
823,drink curd,majigae kudi,battae kudathara
824,what does he want,aennaga ondhu baeda,emma baasae hadathae
825,they dont want anything,evakaga ondhu baeda,aennaga ondhu baeda
826,he doesnt want anything,hamaga ondhu baeda,emma baasae hadathae
827,he doesnt want anything,hamaga ondhu baeda,emma baasae hadathae
828,i wont look this,edhuna na nooduthu ellae,edhuna nooduthu ellae
829,look at that,adhuna noodu,edhuna noodu
830,i havent looked at that,adhuna na noodavae ellae,edhuna nooduthu ellae
831,look at him,hamana noodu,hamana noodu
832,look at her,havana noodu,havana noodu
833,today the sky is clear,endhdhu bara,endhdhu bara
834,what should i do now,na aena maaduthu ega,na aena maaduthu aena maaduthu
835,this river is so big,ei halla appara thoduthu,ei halla appara thodutha hadathae
836,there is limited amount of water in this river,ei halla na neeru aluva hadathae,ei halla na neeru hadathae
837,there are flowers in this river,ei halla na hoo hadathae,ei halla na neeru hadathae
838,there are many plants in this river,ei halla na appara chaedi hadathae,ei halla na neeru hadathae
839,this is a good hospital,edhu olliya haspithiri,ei halla ollenge hadathae
840,you dont beleive him,nambithigae emmana,nee hamana noodithae
841,he does not cheat anybody,ema tharuvavu aemaathathu ellae,emma na ninna sarae aeguthu ellae
842,pour some oil to the lamp,dhevigae ga aennae hattu,dhesaga neeru ollenge hadathae
843,we have a cat,aenga kothi saakiniyu,ninna sarae hatti hadathae
844,today i have one exam,endhdhu aennaga ondhu parchae,na ondhu ondhu parchae
845,i buyed three new shirts,na mooru osa kamisu esithae,na aennaga ezzhu edhdharae
846,i will buy three new shirts,na mooru osa kamisu esinae,na aennaga ollenge edhdhae
847,why should i buy this for you,na aenaga ninnaga esi thaputhu,edhuna aena na ninnaga edhdhae
848,i will definetely buy this for you,ninnaga na kandipa esi thannae,ninnaga edhuna na ninnava edhdhae
849,eat this and see,edhuna thindhu noodu,edhuna nooduthu ellae
850,i cant carry this,na edhuna thookarae,edhuga na thaputhu ellae
851,green color will be so good,pachai banna sooka attra,edhu banna sooka attra
852,dont spread the mud,manna beera baeda,koosu appara edathara
853,he is  too fat,emma appara gunda edhdhanae,emma appara edathara
854,talk to me,aenna koda baasae haadu,aennaga aennava baeda
855,i will also watch movie,naanu pada noodinae,na ninnaga noodithae
856,buffalo will be so big,yaemmae appara thodutha attra,kunnavae appara kunnuthu
857,we have one cow,aenga sarae ondhu dhana hadathae,aenna sarae ondhu dhana hadathae
858,we have three white cows,aenga sarae mooru ballae dhana hadathae,aenga sarae mooru dhana hadathae
859,we have two white and one black cow,aenga sarae aeradu kappu ondhu ballae dhana hadathae,aenga sarae aerudu koodi hadathae
860,what did you do this year,ei varusa aena maadithae,ei varusa aena maadithae
861,nobody came,dhaaru bapilae,nanga banthu ellae
862,nobody is coming,dhaaru baputhu ellae,nangiga banthu ellae
863,did you call everyone,nee aellava korchithiya,ninnaga na ninnava noodithae
864,why did you call,nee aeka banthae,nee aeka banthae
865,comb your hair,mandae gooru,nee ollenge edhdhae
866,did you think of me,aennava nenachithiya,ninnaga aennava noodithae
867,only a little is left,micha kammi tha hadathae,nee appara tha hadathae
868,i ate rice,kuu thindhubuttae,kuu thindharae
869,i dont have ball,saendu ellae,battae hadathae
870,we cant play here after,edhuga maellae nalubuthu mudiya,elliga nalaba nalaba
871,leg is paining,kaalu erathara,aennaga urchira
872,hand is paining,kai erathara,kai urchira
873,tomorrow is sunday,naaiga haadhivaara jaenna,nangiga sani jaenna
874,today is my birthday,endhdhu aenna utti jaenna,nangiga aenna utti jaenna
875,black color will be so nice,kappu banna ollenge attra,kai appara sooka attra
876,i have one rupees,aenna sarae ondhu uripi hadathae,aenna sarae ondhu uripi hadathae
877,i have fifty rupees,aenna sarae haivathu uripi hadathae,aenna sarae haivathi uripi hadathae
878,i have two hundred rupees,aenna sarae erranooru uripi hadathae,aenna sarae eranooru uripi hadathae
879,i have six hundred rupees,aenna sarae harnooru uripi hadathae,aenna sarae haarnooru uripi hadathae
880,i have nine thousand rupees,aenna sarae ombathu saavira uripi hadathae,aenna sarae ombainooru uripi hadathae
881,i have eight lakhs,aenna sarae eattu lacha hadathae,aenna sarae eattu lacha hadathae
882,i have ten lakhs,aenna sarae hathu lacha hadathae,aenna sarae hathu lacha hadathae
883,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
884,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
885,i have fourty six rupees,aenna sarae nalavathi haaru uripi hadathae,aenna sarae nalavathi haaru uripi hadathae
886,i have fifty three rupees,aenna sarae haivathi mooru uripi hadathae,aenna sarae haivathi mooru uripi hadathae
887,i have fifty six rupees,aenna sarae haivathi haaru uripi hadathae,haaru uripi hadathae
888,i have fifty seven rupees,aenna sarae haivathi ezzhu uripi hadathae,aenna sarae haivathi ezzhu uripi hadathae
889,i have sixty two rupees,aenna sarae haravathi aeradu uripi hadathae,aenna sarae haravathi aeradu uripi hadathae
890,i have eighty four rupees,aenna sarae eambathi naaku uripi hadathae,aenna sarae eambathi naaku uripi hadathae
891,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
892,i have hundred and eight rupees,aenna sarae noora eattu uripi hadathae,aenna sarae noora eattu uripi hadathae
893,i have two hundred and three rupees,aenna sarae eranoora mooru uripi hadathae,aenna sarae eranoora mooru uripi hadathae
894,i have three hundred and two rupees,aenna sarae munoora aeradu uripi hadathae,aenna sarae munoora aeradu uripi hadathae
895,i have three hundred and six rupees,aenna sarae munoora haaru uripi hadathae,aenna sarae munoora haaru uripi hadathae
896,i have four hundred and two rupees,aenna sarae nanoora aeradu uripi hadathae,aenna sarae nanoora aeradu uripi hadathae
897,i have four hundred and seven rupees,aenna sarae nanoora ezzhu uripi hadathae,aenna sarae nanoora ezzhu uripi hadathae
898,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
899,i have five hundred and five rupees,aenna sarae hainoora haithu uripi hadathae,aenna sarae hainoora haithu uripi hadathae
900,i have five hundred and eight rupees,aenna sarae hainoora eattu uripi hadathae,aenna sarae hainoora eattu uripi hadathae
901,i have six hundred and four rupees,aenna sarae haarnoora naaku uripi hadathae,aenna sarae haarnoora naaku uripi hadathae
902,i have six hundred and six rupees,aenna sarae haarnoora haaru uripi hadathae,aenna sarae haarnoora haaru uripi hadathae
903,i have nine hundred and three rupees,aenna sarae ombainoora mooru uripi hadathae,aenna sarae ombainoora mooru uripi hadathae
904,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
905,i have thousand and one rupees,aenna sarae saavirtha ondhu uripi hadathae,aenna sarae saavirtha ondhu uripi hadathae
906,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
907,i have thousand and eight rupees,aenna sarae saavirtha eattu uripi hadathae,aenna sarae saavirtha eattu uripi hadathae
908,i have thousand and nine rupees,aenna sarae saavirtha ombathu uripi hadathae,aenna sarae saavirtha ombathu uripi hadathae
909,i have thousand and twenty four rupees,aenna sarae saavirtha eppathi naaku uripi hadathae,aenna sarae saavirtha eppathi naaku uripi hadathae
910,i have thousand and twenty five rupees,aenna sarae saavirtha eppathi haithu uripi hadathae,aenna sarae saavirtha eppathu uripi hadathae
911,i have thousand and twenty six rupees,aenna sarae saavirtha eppathi haaru uripi hadathae,aenna sarae saavirtha eppathi haaru uripi hadathae
912,i have thousand and thirty four rupees,aenna sarae saavirtha moovathi naaku uripi hadathae,aenna sarae saavirtha moovathi naaku uripi hadathae
913,i have thousand and fourty two rupees,aenna sarae saavirtha nalavathi aeradu uripi hadathae,aenna sarae saavirtha nalavathi aeradu uripi hadathae
914,i have thousand and fourty nine rupees,aenna sarae saavirtha nalavathi ombathu uripi hadathae,aenna sarae saavirtha nalavathi ombathu uripi hadathae
915,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
916,i have thousand and fifty nine rupees,aenna sarae saavirtha haivathi ombathu uripi hadathae,aenna sarae saavirtha haivathi ombathu uripi hadathae
917,i have thousand and eighty three rupees,aenna sarae saavirtha eambathi mooru uripi hadathae,aenna sarae saavirtha eambathi mooru uripi hadathae
918,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
919,i have thousand and ninty three rupees,aenna sarae saavirtha thombathi mooru uripi hadathae,aenna sarae saavirtha thombathi mooru uripi hadathae
920,i have thousand and ninty seven rupees,aenna sarae saavirtha thombathi ezzhu uripi hadathae,aenna sarae saavirtha thombathi ezzhu uripi hadathae
921,i have thousand and ninty nine rupees,aenna sarae saavirtha thombathi ombathu uripi hadathae,aenna sarae saavirtha thombathi ombathu uripi hadathae
922,i didnt drink milk,haalu na kudipilae,haalu kudathara
923,i like curd,majigae aennaga edathara,majigae appara edathara
924,they dont want anything,evakaga ondhu baeda,aennaga ondhu baeda
925,dont talk,baasae hadathae eru,nee ollenge edhdhae
926,keep quite,sapaena eru,nee appara ollenge hadathae
927,dont make it sweet,seeya mada baeda,edhu ollenge edhdhae
928,dont copy and write,noodi baraya baeda,nee ollenge edhdhae
929,dont ever look at him,hamana noodavae beda,hamana nooduthu ellae
930,day before yesterday afternoon it was raining,maranae hagulu mae,maranae orrukuthu mae
931,this river is so big,ei halla appara thoduthu,ei halla appara thodutha hadathae
932,there is less water in this river,ei halla na dhesaga neeru tha hadathae,ei halla na dhesaga neeru tha hadathae
933,this is silver ring,edhu bellie ungara,ei belli appara sarae edhdhae
934,this hospital is so small,ei haspithiri appara kunnuthu,ei halla appara kunnuthu
935,this is a good hospital,edhu olliya haspithiri,ei halla ollenge hadathae
936,this is not a good hospital,ei haspithiri seri ellae,edhu appara kunnutha hadathae
937,i dont work here in this hospital,na ei haspithiri ya gelcha maadathu ellae,ei haspithiri gelcha maaduthu ellae
938,what was the reason for this,edhuga aena karana,edhuna aena maadithae
939,you dont beleive him,nambithigae emmana,nee hamana noodithae
940,you dont beleive him,nambithigae emmana,nee hamana noodithae
941,he cheats so much,emma appara aemaathina,emma appara koosu ellae
942,i dont cheat anybody,na tharuvavu aemaathathu ellae,na ninnava noodithae
943,tell me if you dont want to come,baputhu mudiyati aegi budivi,ninnaga aennava baeda
944,this chair is so nice,ei narkaali ollenge hadathae,ei siti sooka hadathae
945,pour some oil to the lamp,dhevigae ga aennae hattu,dhesaga neeru ollenge hadathae
946,we have a cat,aenga kothi saakiniyu,ninna sarae hatti hadathae
947,we have two cats,aenna sarae aeradu kothi hadathae,aenga sarae aerudu koosu
948,i have less blood in my body,aenna odambuna ratha kamiya hadathae,ninnaga appara thaputhu ellae
949,what is your original name,ninna unmaiyana hesaru aena,ninnaga hesaru aena
950,come lets eat,baari thimba,manakana baputhu
951,my throat is paining,aennaga thondae urchira thava,kai urchira
952,im very sad,appara soogava hadathae,appara sooka hadathae
953,i feel like my hands are paining,kai urchithingae hadathae,aennaga appara urchira aennaga
954,lend me some money if you have,ninna sarae hana attrae osi tharika,ninnaga sarae ollenge edhdhae
955,sit for sometime,osi jaama kuli,osi jaama osi jaama
956,when did you come,aeguva banthae nee,nee aeguva banthae
957,i wont go to village,na hatti ga oogarae,na hatti ga oppiliya
958,this kid looks like his father,ei koosu thanna appa na maakae edhdhanae noodu,ei koosu appara edathara
959,okay i will leave,seri na oittu bannae,na ninnaga ollenge edhdhae
960,is this a new plate,ei thattu osthu maakae,edhu ollenge hadathae
961,four members are there in my house,anga manaeya motha naaka,aenga manaya hattiya hattiya
962,ants are everywhere in this house,manaya erruppu jasthi hadathae,ei halla na ninnaga appara thoduthu
963,form now on go home early,eni maellaee maennaega othina ogu,manakana ollenge manakana ogu
964,dont use blame words,hollatha baasae haada baeda,nee aennaga ollenge edhdhae
965,crow will be black in color,kakke appara kappa attra,kunna kunnuthu appara kunnuthu
966,your house is too big,ninga mannae appara thoduthu,ninga appara kunnuthu
967,schools are open now,pallitu aella tharuthubutru,aenga sarae ollenge hadathae
968,he has only one child,hamaga ondhu koosu tha,emma ondhu kunnutha hadathae
969,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga aennaga ondhu parchae
970,i know you,ninnava harathae,ninnava noodithae
971,in this week i have two days school,e vaara na aeradu jaenna tha pallitu hadathae,ei hadathae na aeradu jaenna tha harathae
972,today is saturday,endhdhu sani jaenna,sani jaenna
973,you should look after everbody,nee tha aellava sakathu,nee ollenge edhdhae
974,today is friday,endhdhu bellie jaenna,endhdhu jaenna
975,dont get ready slow,maellaena kadaya beda,manakana ollenge edhdhae
976,you are married to which village,nee ae hattiga koodidhae,nee aelli hatti
977,im not expect as you in driving,na ninna aluvuga bandi odisi ariyae,ninnaga ollenge edhdhae
978,we always watch tamil movies,anga aguvavu tamil pada tha noodiniyu,nanga tamil appara tamil aegu
979,what is you elder sisters husband name,ninna akka na ghanda na hesaru aena,ninna anna na hesaru aena
980,tell me a story,ondhu kadhae aegu,aennaga ondhu ellae
981,what will you do next year,hadutha varusa aena maadirae,aena maadirae aena maadirae
982,here it is too hot,elli appara suuda hadathae,ei halla appara sooka hadathae
983,let there be no hinderance,aedenjalu barathae ollenge eru,eni maellae neeru ellae
984,come lets buy some things for house,ba manaega osi seluvu esi bapa,manakana ollenge edhdhanae
985,dont talk too much,appara baasae hada baeda,ninnaga appara baasae hadathae
986,whose daughter are you,nee dhara hennu,ninna anna na ninna anna
987,your wich do whatever you want,ninga esta aenavo maadi,ninnaga aena maaduthu aena maaduthu
988,we both look similar,nanga arada ondhae maakae edhdha,na ninnaga appara edathara
989,dresses will be so good in this shop,ei kadai ya battae aella sooka attra,ei kai appara sooka attra
990,will you come here,elliga banthariya,elliga banthu buttae
991,complete the work,gelcha va beriki budu,gelcha maadu
992,what is your name,ninga hesaru aena,ninnaga hesaru aena
993,dont carry to much weight,appara horae ya thuuka baeda,ninnaga appara baeda
994,you didnt go to village,hatti ga oppiliya nee,nee hatti ga oppiliya
995,im not comming anywhere,na aelligu baputhu ellae,na ninnaga ollenge edhdhae
996,yesterday did you go to school,nennae nee pallitu ga odhdhaya,nennae nee pallitu ga oppa
997,be a little hontest,sittitu havathu manasatchi oda aegu,ninnaga appara ollenge edhdhae
998,are they going to home,manae ga odharava,manae ga oppa
999,time is going to up,jaama haputhuga ora,nanga ollenge eru
1000,he is stronger,emma jasthi bala bethu thanae,emma appara kunnuthu
1001,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu appara urchira
1002,where did you go,aelliga oithu banthae nee,nee aesaga oppa
1003,my fingers are paining,baerulu urchira,kai urchira
1004,i will wash my face and come,na moga thogithu bannae,na ninnaga ollenge banthara
1005,stay strong,dhairiyava eru,nee ollenge hadathae
1006,this whole month is boring,ei thinguva ondhu assundu,ei varusa appara sooka hadathae
1007,today is your village festival,ninga hatti ya endhdhu habba va,ninga hatti habba hatti habba
1008,i have seen you somewhere,na alivario ninnava noodithae,ninnava noodithae
1009,driver rides very slow,bandi odusama appara maelana oona,nee appara ollenge edhdhae
1010,did you see my brother,aenna anna na nee noodithiya,aenna amma na noodithiya
1011,how much money do you have,aesaga haenna hadathae,ninnaga aena sarae aesaga
1012,you look after him,nee noodiko emana,nee noodithiya
1013,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,ninnaga sarae aeguva ellae ellae ellae ellae
1014,what will you do next week,hadutha vaara aena maadirae,ninnaga aena maadithae
1015,i wont go anywhere leaving you,na ninnava buttu aelligu opputhu ellae,na ninnava ninnava ninnava noodithae
1016,dont disturb me,nee aennava thontharavu maada beda,nee aennava ollenge ellae
1017,what is the price for onion,benguvae balae aesaga,koosu ollenge hadathae
1018,anyone coming with me,dharachi banthariya,nee aennava baeda
1019,im so angry,appara koopa thogae edhdhae na,appara sooka edhdhae
1020,this kid looks like his mother,ei koosu thanna amma na maakae edhdhanae noodu,ei koosu appara koosu maakae
1021,you are from which village,thamma ae hatti,nee ae hatti
1022,carry this baby,ei koosa thaththu,ei koosu koosu
1023,dont come here,elliga banthu thigae,elliga banthu ellae
1024,we can only share secrets with the well known person,ollenge haratha havaka sarae mattu tha ragasiya aegakku,ninna sarae na koosu tha aeguthu ellae
1025,do you have any sense,siggu maana aella ondhu ellaya ninnaga,ninnaga aeguvathu ellaya
1026,this shop will open late in the morning,ei kadai orrukuthu maellaena tha tharadhara,ei kaapi jaenna santhu orrukuthu ellae
1027,i fell sleepy while i close my eyes,kanna muchilae orruku banthara aennaga,ninnaga aennaga nooduthu ellae
1028,dont come here,elliga banthu thigae,elliga banthu ellae
1029,will she come,eva banthayava,evaka banthu buttae
1030,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sarae nooduthu ellae
