,input_en,true_ba,output
693,we came,aenga banthu buttayu,aenga banthu buttru
694,what did you do this year,ei varusa aena maadithae,ei varusa aena maadithae
695,you dont show off,nee bandha maada beda,nee bandha maada beda
696,peel the potato,gaasu keesu,gaasu keesu
697,what is your name,ninga hesaru aena,ninga hesaru aena
698,where this vechile goes,e bandi alliga oora,e bandi alliga oora
699,i curse you,na ninnaga saapa hakinae,na ninnaga saapa hakinae
700,i know your father,na ninna appaenna harathae,na ninna appaenna harathae
701,i like rajini,aennaga rajini tha edathara,aennaga rajini tha edathara
702,what is your favourite food,ninnaga edatha ettu aena,ninnaga aena ettu aena
703,dont scold him,nudiya baeda hamana,emmana nudiya baeda
704,i regret telling you,ninna sarae oi na aegithae noodu,ninna sarae oi na aegithae noodu
705,do something,aedho ondhu maadu,aedho ondhu maadu
706,my hand is not paining,kai urchathu ellae,kai urchira aennaga
707,which game you like the most,ninnaga aena nalavata appara edathara,ninnaga aena nalavata appara edathara
708,he is an average player,emma paravalae siti nalathana,emma paravalae siti nalathana
709,im going to study this whole day,endhdhu jaenna pura na oodhinae,endhdhu jaenna pura na oodhinae
710,they are cooking fish at home,manaeya meenu maadiyara,manaeya meenu maadiyara
711,i feel like vomitting,aennaga kaarikae banthangae hadathae,aennaga kaarikae banthangae hadathae
712,did you see my spectacles,aenna kannadiya noodithiya,aenna kannadiya noodithiya
713,this side it is there,eekadae hadathae,eekadae hadathae
714,its too late,appara jaama haipta,appara jaama haipta
715,what is the breakfast,orukuthu ettu aena,orukuthu ettu aena
716,who is there near you,pakka dhara edhdharae,pakka dhara edhdharae
717,what did you prepare for lunch,hagulu hasuga aena maditha,hagulu ettu aena ettu
718,wait i will come,bannae eru,bannae eru
719,i buyed a new shirt,na ondhu osa kamisu esithae,na ondhu osa kamisu esinae
720,today it is so windy,gaai jaasthi endhdhu,gaai jaasthi endhdhu
721,yesterday i didnt sleep well,nennae ollenge orugulae,nennae ollenge orugulaya
722,film was so boring,pada appara asundu,pada appara asundu
723,this is in your hands,edhu ninna kai na tha hadathae,edhu ninna kai na tha hadathae
724,how much money should i give you,enu na ninaga aesaga hana thaputhu,enu na ninaga aesaga hana thaputhu
725,this boy is so brilliant,e koosu appara baevara,e koosu appara baevara
726,he likes simbu,emaga simbu tha edathara,emaga simbu tha edathara
727,he acts very well,emma ollenge nadichina,emma ollenge nadichina
728,he plays very good,emma bayangarava nalathana,emma bayangarava nalathana
729,did you see my mother,aenna amma na nee noodithiya,aenna amma na nee noodithiya
730,did you see my sister,aenna amme ya nee noodithiya,aenna amme ya nee noodithiya
731,i havent seen anyone,na tharuvavu noodulae,na tharuvavu noodulae
732,wher is this shop located,ei kadai alliya hadathae,ei kadai alliya hadathae
733,dont eat too much,kanduga thinna baeda,appara thinna baeda
734,why are so sad,nee aeka soogava edhae,nee aeka soogava edhae
735,fried rice will be so good,bartha kuu ollenge attra,baratha kuu ollenge attra
736,egg gravy will be so nice,mottae udhaka appara sooka attra,mottae udhaka appara sooka attra
737,i will maary whoever my father tolds me to marry,na aenna appa aeguva koosa tha madhuvae maadinae,na aenna appa aeguva koosa tha madhuvae maadinae
738,wait for some days,dhosi jaenna eru,dhosi jaenna eru
739,i wont give,thaputhu ellae,thaputhu ellae
740,you should respect everyone,nee aellaga mariyathae kodathu,nee aellaga mariyathae kodathu
741,keep this inside the cupboard,edhuna beero ogasu be,edhuna beero ogasu be
742,today the sky is clear,endhdhu bara,endhdhu bara
743,sky is full of blue today,baanu thumba neellae banna endhdhu,baanu thumba neellae banna endhdhu
744,dont carry too much weight,appara baara va thooka baeda,appara baara va thooka baeda
745,give him some coffee,emmaga dhesaga kaapi kodu,emmaga dhesaga kaapi kodu
746,is there any other way,baerae dhari ondhu ellaya,baerae dhari ondhu ellaya
747,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu odambu aella urchira
748,if i complete this job early i can go home early,ei gelcha manakana berikirae manaega manakana oogaku,ei gelcha manakana berikirae manaega manakana oogaku
749,what to buy for dinner,santhu thimbuthuga aena esathu,santhu thimbuthuga aena esathu
750,tiger is there in the forest,kaadu thogae ulli hadathae,kaadu thogae hadathae noodu
751,bear will be so black in color,karadi appara kappa attra,karadi appara kappa attra
752,my grandmother will watch serials,aenna haethae tha nadangae noodiya,aenna haethae tha nadangae noodiya
753,during festivals they used to make beans gravy,habba jaenna avarai udhaka tha maadiyara,habba jaenna aella maadi udhaka tha
754,i know everything about him,na hamana pathi aellava harathae,na hamana ariyarae ondhu harathae
755,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti ollenge attra
756,hullathi is a small village,hullathi ondhu kunna hatti,hullathi ondhu kunna hatti
757,how many kids are there in your age,ninna vayasu kunnavae aesaga edhdharae,ninna vayasu kunnavae aesaga edhdharae
758,what is your favourite food,ninnaga edatha ettu aena,ninnaga aena ettu aena
759,he is mad,emma siti vishaesha,emma siti vishaesha
760,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,aenna sarae sarae ellae ninna sarae thaputhu ellae
761,two weeks are left for the exam,ennu aerudu vaara tha hadathae parachae ga,ennu aerudu vaara tha hadathae parachae ga
762,one month left for next year,ei varusa berugathuga ennu ondhu thinguva tha hadathae,ei varusa berugathuga ennu ondhu thinguva tha hadathae
763,three nonths are left for next year,ei varusa berugathuga ennu mooru thinguva tha hadathae,ei varusa berugathuga ennu mooru thinguva tha hadathae
764,i will go to another job next year,na hadatha varusa baerae gelcha ga onnae,na hadatha varusa baerae gelcha ga onnae
765,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na hadatha varusa ondhu mannae
766,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna maejoodu halamaari ogasu hadathae noodu
767,this cupboard is so big,ei bala paetti appara dhoduthu,ei bala paetti appara dhoduthu
768,too much wind is blowing,gaai appara beesira,appara baasae hadathae
769,come to the ground we will play,hattnae ga ba nalaba,hattnae ga ba nalaba
770,shall me do a ball,saendu maada va,saendu maada va
771,we cant play here after,edhuga maellae nalubuthu mudiya,edhuga maellae nalubuthu mudiya
772,i cant play here after,edhuga maellae na naliyarae,edhuga maellae naliyarae
773,tomorrow is my birthday,naaiga aenna utti jaenna,naaiga aenna utti jaenna
774,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
775,tuesday is my birthday,mangavaara aenna utti janna,mangavaara aenna utti janna
776,wednesday is my birthday,bodhavaara aenna utti jaenna,bodhavaara aenna utti jaenna
777,sunday is my birthday,haadhivaara aenna utti jaenna,haadhivaara aenna utti jaenna
778,blue color will be so nice,neela banna sooka attra,neela banna sooka attra
779,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
780,i have nine rupees,aenna sarae ombathu uripi hadathae,aenna sarae ombathu uripi hadathae
781,i have sixty rupees,aenna sarae haravathu uripi hadathae,aenna sarae haravathu uripi hadathae
782,i have two thousand rupees,aenna sarae aerudu saavira uripi hadathae,aenna sarae aerudu saavira uripi hadathae
783,i have four thousand rupees,aenna sarae naaku saavira uripi hadathae,aenna sarae naaku saavira uripi hadathae
784,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
785,i have twenty three rupees,aenna sarae eppathi mooru uripi hadathae,aenna sarae eppathi mooru uripi hadathae
786,i have twenty five rupees,aenna sarae eppathi haithu uripi hadathae,aenna sarae eppathi haithu uripi hadathae
787,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
788,i have eighty three rupees,aenna sarae eambathi mooru uripi hadathae,aenna sarae eambathi mooru uripi hadathae
789,i have eighty five rupees,aenna sarae eambathi haithu uripi hadathae,aenna sarae eambathi haithu uripi hadathae
790,i have eighty nine rupees,aenna sarae eambathi ombathu uripi hadathae,aenna sarae eambathi ombathu uripi hadathae
791,i have ninty five rupees,aenna sarae thombathi haithu uripi hadathae,aenna sarae thombathi haithu uripi hadathae
792,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
793,i have hundred and eight rupees,aenna sarae noora eattu uripi hadathae,aenna sarae noora eattu uripi hadathae
794,i have two hundred and four rupees,aenna sarae eranoora naaku uripi hadathae,aenna sarae eranoora naaku uripi hadathae
795,i have two hundred and five rupees,aenna sarae eranoora haithu uripi hadathae,aenna sarae eranoora haithu uripi hadathae
796,i have three hundred and four rupees,aenna sarae munoora naaku uripi hadathae,aenna sarae munoora naaku uripi hadathae
797,i have three hundred and five rupees,aenna sarae munoora haithu uripi hadathae,aenna sarae munoora haithu uripi hadathae
798,i have four hundred and six rupees,aenna sarae nanoora haaru uripi hadathae,aenna sarae nanoora haaru uripi hadathae
799,i have five hundred and three rupees,aenna sarae hainoora mooru uripi hadathae,aenna sarae hainoora mooru uripi hadathae
800,i have five hundred and nine rupees,aenna sarae hainoora ombathu uripi hadathae,aenna sarae hainoora ombathu uripi hadathae
801,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
802,i have seven hundred and two rupees,aenna sarae ezzhnoora aeradu uripi hadathae,aenna sarae ezzhnoora aeradu uripi hadathae
803,i have eight hundred and six rupees,aenna sarae eatnoora haaru uripi hadathae,aenna sarae eatnoora haaru uripi hadathae
804,i have nine hundred and four rupees,aenna sarae ombainoora naaku uripi hadathae,aenna sarae ombainoora naaku uripi hadathae
805,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
806,i have thousand and twenty one rupees,aenna sarae saavirtha eppathi ondhu uripi hadathae,aenna sarae saavirtha eppathi ondhu uripi hadathae
807,i have thousand and thirty one rupees,aenna sarae saavirtha moovathi ondhu uripi hadathae,aenna sarae saavirtha moovathi ondhu uripi hadathae
808,i have thousand and thirty two rupees,aenna sarae saavirtha moovathi aeradu uripi hadathae,aenna sarae saavirtha moovathi aeradu uripi hadathae
809,i have thousand and thirty three rupees,aenna sarae saavirtha moovathi mooru uripi hadathae,aenna sarae saavirtha moovathi mooru uripi hadathae
810,i have thousand and thirty eight rupees,aenna sarae saavirtha moovathi eattu uripi hadathae,aenna sarae saavirtha moovathi eattu uripi hadathae
811,i have thousand and fifty seven rupees,aenna sarae saavirtha haivathi ezzhu uripi hadathae,aenna sarae saavirtha haivathi ezzhu uripi hadathae
812,i have thousand and fifty nine rupees,aenna sarae saavirtha haivathi ombathu uripi hadathae,aenna sarae saavirtha haivathi ombathu uripi hadathae
813,i have thousand and sixty three rupees,aenna sarae saavirtha haravathi mooru uripi hadathae,aenna sarae saavirtha haravathi mooru uripi hadathae
814,i have thousand and eighty rupees,aenna sarae saavirtha eambathu uripi hadathae,aenna sarae saavirtha eambathu uripi hadathae
815,i have thousand and eighty one rupees,aenna sarae saavirtha eambathi ondhu uripi hadathae,aenna sarae saavirtha eambathi ondhu uripi hadathae
816,i have thousand and eighty three rupees,aenna sarae saavirtha eambathi mooru uripi hadathae,aenna sarae saavirtha eambathi mooru uripi hadathae
817,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
818,i have thousand and eighty seven rupees,aenna sarae saavirtha eambathi ezzhu uripi hadathae,aenna sarae saavirtha eambathi ezzhu uripi hadathae
819,i have thousand and hundred rupees,aenna sarae saavirtha nooru uripi hadathae,aenna sarae saavirtha nooru uripi hadathae
820,give him some milk,haalu kodu,haalu kodu
821,i dont drink milk,haalu na kuduputhu ellae,haalu na kuduputhu ellae
822,did you drink curd,majigae kudathaya,majigae kudathaya
823,drink curd,majigae kudi,majigae kudi
824,what does he want,aennaga ondhu baeda,ema ga aena baeku
825,they dont want anything,evakaga ondhu baeda,evakaga ondhu baeda
826,he doesnt want anything,hamaga ondhu baeda,hamaga ondhu baeda
827,he doesnt want anything,hamaga ondhu baeda,hamaga ondhu baeda
828,i wont look this,edhuna na nooduthu ellae,edhuna na nooduthu ellae
829,look at that,adhuna noodu,edhuna noodu
830,i havent looked at that,adhuna na noodavae ellae,adhuna na noodavae ellae
831,look at him,hamana noodu,hamana noodu
832,look at her,havana noodu,havana noodu
833,today the sky is clear,endhdhu bara,endhdhu bara
834,what should i do now,na aena maaduthu ega,na aena maaduthu ega
835,this river is so big,ei halla appara thoduthu,ei halla appara dhoduthu
836,there is limited amount of water in this river,ei halla na neeru aluva hadathae,ei halla na neeru hadathae
837,there are flowers in this river,ei halla na hoo hadathae,ei halla na hoo hadathae
838,there are many plants in this river,ei halla na appara chaedi hadathae,ei halla na appara chaedi hadathae
839,this is a good hospital,edhu olliya haspithiri,edhu olliya haspithiri
840,you dont beleive him,nambithigae emmana,nambithigae emmana
841,he does not cheat anybody,ema tharuvavu aemaathathu ellae,ema tharuvavu aemaathathu ellae
842,pour some oil to the lamp,dhevigae ga aennae hattu,dhevigae ga kaapi ga
843,we have a cat,aenga kothi saakiniyu,aenga sarae kothi hadathae
844,today i have one exam,endhdhu aennaga ondhu parchae,endhdhu aennaga ondhu parchae
845,i buyed three new shirts,na mooru osa kamisu esithae,na mooru osa kamisu esinae
846,i will buy three new shirts,na mooru osa kamisu esinae,na mooru osa kamisu esinae
847,why should i buy this for you,na aenaga ninnaga esi thaputhu,na aenaga ninnaga esi thaputhu
848,i will definetely buy this for you,ninnaga na kandipa esi thannae,ninnaga na kandipa esi thannae
849,eat this and see,edhuna thindhu noodu,edhuna noodivi noodu
850,i cant carry this,na edhuna thookarae,edhuga maellae
851,green color will be so good,pachai banna sooka attra,pachai banna sooka attra
852,dont spread the mud,manna beera baeda,manna beera baeda
853,he is  too fat,emma appara gunda edhdhanae,emma appara gamalu edhdhanae
854,talk to me,aenna koda baasae haadu,aennaga baasae haadu
855,i will also watch movie,naanu pada noodinae,naanu pada noodinae
856,buffalo will be so big,yaemmae appara thodutha attra,yaemmae appara thoda appara thodu
857,we have one cow,aenga sarae ondhu dhana hadathae,aenga sarae ondhu dhana hadathae
858,we have three white cows,aenga sarae mooru ballae dhana hadathae,aenga sarae mooru ballae dhana hadathae
859,we have two white and one black cow,aenga sarae aeradu kappu ondhu ballae dhana hadathae,aenga sarae aeradu ballae dhana hadathae
860,what did you do this year,ei varusa aena maadithae,ei varusa aena maadithae
861,nobody came,dhaaru bapilae,dhaaru bapilae
862,nobody is coming,dhaaru baputhu ellae,dhaaru baputhu ellae
863,did you call everyone,nee aellava korchithiya,nee aellava korchulae
864,why did you call,nee aeka banthae,nee aeka banthae
865,comb your hair,mandae gooru,mandae orrukuthu
866,did you think of me,aennava nenachithiya,aennava nenachithiya
867,only a little is left,micha kammi tha hadathae,micha kammi tha hadathae
868,i ate rice,kuu thindhubuttae,kuu thindhubuttae
869,i dont have ball,saendu ellae,saendu ellae
870,we cant play here after,edhuga maellae nalubuthu mudiya,edhuga maellae nalubuthu mudiya
871,leg is paining,kaalu erathara,kaalu erathara
872,hand is paining,kai erathara,kai erathara
873,tomorrow is sunday,naaiga haadhivaara jaenna,naaiga haadhivaara jaenna
874,today is my birthday,endhdhu aenna utti jaenna,endhdhu aenna utti jaenna
875,black color will be so nice,kappu banna ollenge attra,kappu banna sooka attra
876,i have one rupees,aenna sarae ondhu uripi hadathae,aenna sarae ondhu uripi hadathae
877,i have fifty rupees,aenna sarae haivathu uripi hadathae,aenna sarae haivathu uripi hadathae
878,i have two hundred rupees,aenna sarae erranooru uripi hadathae,aenna sarae eranooru uripi hadathae
879,i have six hundred rupees,aenna sarae harnooru uripi hadathae,aenna sarae harnooru uripi hadathae
880,i have nine thousand rupees,aenna sarae ombathu saavira uripi hadathae,aenna sarae ombathu saavira uripi hadathae
881,i have eight lakhs,aenna sarae eattu lacha hadathae,aenna sarae eattu lacha hadathae
882,i have ten lakhs,aenna sarae hathu lacha hadathae,aenna sarae hathu lacha hadathae
883,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
884,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
885,i have fourty six rupees,aenna sarae nalavathi haaru uripi hadathae,aenna sarae nalavathi haaru uripi hadathae
886,i have fifty three rupees,aenna sarae haivathi mooru uripi hadathae,aenna sarae haivathi mooru uripi hadathae
887,i have fifty six rupees,aenna sarae haivathi haaru uripi hadathae,aenna sarae haivathi haaru uripi hadathae
888,i have fifty seven rupees,aenna sarae haivathi ezzhu uripi hadathae,aenna sarae haivathi ezzhu uripi hadathae
889,i have sixty two rupees,aenna sarae haravathi aeradu uripi hadathae,aenna sarae haravathi aeradu uripi hadathae
890,i have eighty four rupees,aenna sarae eambathi naaku uripi hadathae,aenna sarae eambathi naaku uripi hadathae
891,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
892,i have hundred and eight rupees,aenna sarae noora eattu uripi hadathae,aenna sarae noora eattu uripi hadathae
893,i have two hundred and three rupees,aenna sarae eranoora mooru uripi hadathae,aenna sarae eranoora mooru uripi hadathae
894,i have three hundred and two rupees,aenna sarae munoora aeradu uripi hadathae,aenna sarae munoora aeradu uripi hadathae
895,i have three hundred and six rupees,aenna sarae munoora haaru uripi hadathae,aenna sarae munoora haaru uripi hadathae
896,i have four hundred and two rupees,aenna sarae nanoora aeradu uripi hadathae,aenna sarae nanoora aeradu uripi hadathae
897,i have four hundred and seven rupees,aenna sarae nanoora ezzhu uripi hadathae,aenna sarae nanoora ezzhu uripi hadathae
898,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
899,i have five hundred and five rupees,aenna sarae hainoora haithu uripi hadathae,aenna sarae hainoora haithu uripi hadathae
900,i have five hundred and eight rupees,aenna sarae hainoora eattu uripi hadathae,aenna sarae hainoora eattu uripi hadathae
901,i have six hundred and four rupees,aenna sarae haarnoora naaku uripi hadathae,aenna sarae haarnoora naaku uripi hadathae
902,i have six hundred and six rupees,aenna sarae haarnoora haaru uripi hadathae,aenna sarae haarnoora haaru uripi hadathae
903,i have nine hundred and three rupees,aenna sarae ombainoora mooru uripi hadathae,aenna sarae ombainoora mooru uripi hadathae
904,i have nine hundred and eight rupees,aenna sarae ombainoora eattu uripi hadathae,aenna sarae ombainoora eattu uripi hadathae
905,i have thousand and one rupees,aenna sarae saavirtha ondhu uripi hadathae,aenna sarae saavirtha ondhu uripi hadathae
906,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
907,i have thousand and eight rupees,aenna sarae saavirtha eattu uripi hadathae,aenna sarae saavirtha eattu uripi hadathae
908,i have thousand and nine rupees,aenna sarae saavirtha ombathu uripi hadathae,aenna sarae saavirtha ombathu uripi hadathae
909,i have thousand and twenty four rupees,aenna sarae saavirtha eppathi naaku uripi hadathae,aenna sarae saavirtha eppathi naaku uripi hadathae
910,i have thousand and twenty five rupees,aenna sarae saavirtha eppathi haithu uripi hadathae,aenna sarae saavirtha eppathi haithu uripi hadathae
911,i have thousand and twenty six rupees,aenna sarae saavirtha eppathi haaru uripi hadathae,aenna sarae saavirtha eppathi haaru uripi hadathae
912,i have thousand and thirty four rupees,aenna sarae saavirtha moovathi naaku uripi hadathae,aenna sarae saavirtha moovathi naaku uripi hadathae
913,i have thousand and fourty two rupees,aenna sarae saavirtha nalavathi aeradu uripi hadathae,aenna sarae saavirtha nalavathi aeradu uripi hadathae
914,i have thousand and fourty nine rupees,aenna sarae saavirtha nalavathi ombathu uripi hadathae,aenna sarae saavirtha nalavathi ombathu uripi hadathae
915,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
916,i have thousand and fifty nine rupees,aenna sarae saavirtha haivathi ombathu uripi hadathae,aenna sarae saavirtha haivathi ombathu uripi hadathae
917,i have thousand and eighty three rupees,aenna sarae saavirtha eambathi mooru uripi hadathae,aenna sarae saavirtha eambathi mooru uripi hadathae
918,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
919,i have thousand and ninty three rupees,aenna sarae saavirtha thombathi mooru uripi hadathae,aenna sarae saavirtha thombathi mooru uripi hadathae
920,i have thousand and ninty seven rupees,aenna sarae saavirtha thombathi ezzhu uripi hadathae,aenna sarae saavirtha thombathi ezzhu uripi hadathae
921,i have thousand and ninty nine rupees,aenna sarae saavirtha thombathi ombathu uripi hadathae,aenna sarae saavirtha thombathi ombathu uripi hadathae
922,i didnt drink milk,haalu na kudipilae,haalu na kudipilae
923,i like curd,majigae aennaga edathara,majigae aennaga edathara
924,they dont want anything,evakaga ondhu baeda,evakaga ondhu baeda
925,dont talk,baasae hadathae eru,baasae hadathae eru
926,keep quite,sapaena eru,sapaena eru
927,dont make it sweet,seeya mada baeda,seeya mada baeda
928,dont copy and write,noodi baraya baeda,baeda maada baeda baeda
929,dont ever look at him,hamana noodavae beda,hamana noodavae baeda
930,day before yesterday afternoon it was raining,maranae hagulu mae,maranae hagulu mae
931,this river is so big,ei halla appara thoduthu,ei halla appara dhoduthu
932,there is less water in this river,ei halla na dhesaga neeru tha hadathae,ei halla na dhesaga neeru tha hadathae
933,this is silver ring,edhu bellie ungara,edhu bellie ungara
934,this hospital is so small,ei haspithiri appara kunnuthu,ei haspithiri appara kunnuthu
935,this is a good hospital,edhu olliya haspithiri,edhu olliya haspithiri
936,this is not a good hospital,ei haspithiri seri ellae,ei haspithiri seri ellae
937,i dont work here in this hospital,na ei haspithiri ya gelcha maadathu ellae,na ei haspithiri ya gelcha maadinae
938,what was the reason for this,edhuga aena karana,edhuga aena hara
939,you dont beleive him,nambithigae emmana,nambithigae emmana
940,you dont beleive him,nambithigae emmana,nambithigae emmana
941,he cheats so much,emma appara aemaathina,emma appara aemaathina
942,i dont cheat anybody,na tharuvavu aemaathathu ellae,na tharuvavu aemaathathu ellae
943,tell me if you dont want to come,baputhu mudiyati aegi budivi,baputhalae ninnaga aegu
944,this chair is so nice,ei narkaali ollenge hadathae,ei narkaali ollenge hadathae
945,pour some oil to the lamp,dhevigae ga aennae hattu,dhevigae ga kaapi ga
946,we have a cat,aenga kothi saakiniyu,aenga sarae kothi hadathae
947,we have two cats,aenna sarae aeradu kothi hadathae,aenna sarae aeradu kothi hadathae
948,i have less blood in my body,aenna odambuna ratha kamiya hadathae,aennaga siti saavirae tha hadathae
949,what is your original name,ninna unmaiyana hesaru aena,ninna unmaiyana hesaru aena
950,come lets eat,baari thimba,baari thimba
951,my throat is paining,aennaga thondae urchira thava,aennaga thondae urchira aennaga
952,im very sad,appara soogava hadathae,appara soogava hadathae
953,i feel like my hands are paining,kai urchithingae hadathae,kai kaalu aella urchira
954,lend me some money if you have,ninna sarae hana attrae osi tharika,ninna sarae hana attrae osi tharika
955,sit for sometime,osi jaama kuli,osi jaama kuli
956,when did you come,aeguva banthae nee,aeguva banthae nee
957,i wont go to village,na hatti ga oogarae,na hatti ga oogarae
958,this kid looks like his father,ei koosu thanna appa na maakae edhdhanae noodu,ei koosu thanna appa na maakae edhdhanae noodu
959,okay i will leave,seri na oittu bannae,ollenge na oittu bannae
960,is this a new plate,ei thattu osthu maakae,ei thattu osthu maakae
961,four members are there in my house,anga manaeya motha naaka,anga manaeya naaku aella hadathae
962,ants are everywhere in this house,manaya erruppu jasthi hadathae,manaya erruppu jasthi hadathae
963,form now on go home early,eni maellaee maennaega othina ogu,eni maellaee maennaega othina ogu
964,dont use blame words,hollatha baasae haada baeda,eni maellae baasae haada baeda
965,crow will be black in color,kakke appara kappa attra,kakke appara kappa attra
966,your house is too big,ninga mannae appara thoduthu,ninga mannae appara thoduthu
967,schools are open now,pallitu aella tharuthubutru,pallitu tha pallitu hadathae
968,he has only one child,hamaga ondhu koosu tha,hamaga ondhu koosu tha
969,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga parchae hadathae na aennaga
970,i know you,ninnava harathae,ninnava harathae
971,in this week i have two days school,e vaara na aeradu jaenna tha pallitu hadathae,e vaara na aeradu jaenna tha pallitu hadathae
972,today is saturday,endhdhu sani jaenna,endhdhu sani jaenna
973,you should look after everbody,nee tha aellava sakathu,nee tha aellava sakathu
974,today is friday,endhdhu bellie jaenna,endhdhu bellie jaenna
975,dont get ready slow,maellaena kadaya beda,maellaena kadaya beda
976,you are married to which village,nee ae hattiga koodidhae,nee ae hatti kandipa hatti
977,im not expect as you in driving,na ninna aluvuga bandi odisi ariyae,na ninna sarae bandi odambu ariyae
978,we always watch tamil movies,anga aguvavu tamil pada tha noodiniyu,anga aguvavu tamil pada tha noodiniyu
979,what is you elder sisters husband name,ninna akka na ghanda na hesaru aena,ninna akka na hesaru aena
980,tell me a story,ondhu kadhae aegu,ondhu kadhae aegu
981,what will you do next year,hadutha varusa aena maadirae,hadutha varusa aena maadirae
982,here it is too hot,elli appara suuda hadathae,elli appara suuda hadathae
983,let there be no hinderance,aedenjalu barathae ollenge eru,eni maellae aella dhaaru dharachi vae ellae
984,come lets buy some things for house,ba manaega osi seluvu esi bapa,ba manaega osi seluvu esi bapa
985,dont talk too much,appara baasae hada baeda,appara baasae hada baeda
986,whose daughter are you,nee dhara hennu,nee dhara hennu
987,your wich do whatever you want,ninga esta aenavo maadi,ninnaga aena maadi maadirae
988,we both look similar,nanga arada ondhae maakae edhdha,nanga arada edhdhae maakae edhdhae
989,dresses will be so good in this shop,ei kadai ya battae aella sooka attra,ei kadai battae aella sooka attra
990,will you come here,elliga banthariya,elliga banthariya
991,complete the work,gelcha va beriki budu,gelcha va beriki budu
992,what is your name,ninga hesaru aena,ninga hesaru aena
993,dont carry to much weight,appara horae ya thuuka baeda,appara horae ga ollenge baeda
994,you didnt go to village,hatti ga oppiliya nee,hatti ga oppiliya nee
995,im not comming anywhere,na aelligu baputhu ellae,na aelligu baputhu ellae
996,yesterday did you go to school,nennae nee pallitu ga odhdhaya,nennae nee pallitu ga odhdhaya
997,be a little hontest,sittitu havathu manasatchi oda aegu,sittitu havathu manasatchi oda aegu
998,are they going to home,manae ga odharava,manae ga odharava
999,time is going to up,jaama haputhuga ora,jaama haputhuga haputhu
1000,he is stronger,emma jasthi bala bethu thanae,emma jasthi balarava edhdhanae
1001,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu odambu aella urchira
1002,where did you go,aelliga oithu banthae nee,aelliga oithu banthae nee
1003,my fingers are paining,baerulu urchira,baeralu urchira
1004,i will wash my face and come,na moga thogithu bannae,na moga thogithu bannae
1005,stay strong,dhairiyava eru,dhairiyava eru
1006,this whole month is boring,ei thinguva ondhu assundu,ei thinguva ondhu assundu
1007,today is your village festival,ninga hatti ya endhdhu habba va,endhdhu tha nanga hatti habba
1008,i have seen you somewhere,na alivario ninnava noodithae,na alivario ninnava noodithae
1009,driver rides very slow,bandi odusama appara maelana oona,bandi odusathuga appara maelana oona
1010,did you see my brother,aenna anna na nee noodithiya,aenna anna na nee noodithiya
1011,how much money do you have,aesaga haenna hadathae,aesaga haenna hadathae
1012,you look after him,nee noodiko emana,nee noodavae hamana noodu
1013,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,aenna sarae sarae ellae ninna sarae thaputhu ellae
1014,what will you do next week,hadutha vaara aena maadirae,hadutha vaara aena maadirae
1015,i wont go anywhere leaving you,na ninnava buttu aelligu opputhu ellae,na ninnava gevana oputhu ellae
1016,dont disturb me,nee aennava thontharavu maada beda,nee aennava thontharavu maada beda
1017,what is the price for onion,benguvae balae aesaga,benguvae balae aesaga
1018,anyone coming with me,dharachi banthariya,dharachi banthariya
1019,im so angry,appara koopa thogae edhdhae na,appara koopa thogae edhdhae na
